table,gender_blend,issue_age,duration,q_sel
t3282,20% Male,27,13,9e-4
t3282,20% Male,27,14,0.001
t3282,20% Male,27,15,0.00107
t3282,20% Male,27,16,0.00116
t3282,20% Male,27,17,0.00126
t3282,20% Male,27,18,0.00136
t3282,20% Male,27,19,0.00148
t3282,20% Male,27,20,0.00161
t3282,20% Male,27,21,0.00176
t3282,20% Male,27,22,0.00191
t3282,20% Male,27,23,0.00206
t3282,20% Male,27,24,0.00225
t3282,20% Male,27,25,0.00244
t3282,20% Male,28,1,1.4e-4
t3282,20% Male,28,2,2e-4
t3282,20% Male,28,3,2.3e-4
t3282,20% Male,28,4,2.6e-4
t3282,20% Male,28,5,3e-4
t3282,20% Male,28,6,3.5e-4
t3282,20% Male,28,7,4e-4
t3282,20% Male,28,8,4.8e-4
t3282,20% Male,28,9,5.6e-4
t3282,20% Male,28,10,6.5e-4
t3282,20% Male,28,11,7.4e-4
t3282,20% Male,28,12,8.5e-4
t3282,20% Male,28,13,9.6e-4
t3282,20% Male,28,14,0.00105
t3282,20% Male,28,15,0.00112
t3282,20% Male,28,16,0.00121
