table,gender,issue_age,duration,q_sel
t3363,Male,24,1,3.4e-4
t3363,Male,24,2,3.6e-4
t3363,Male,24,3,3.5e-4
t3363,Male,24,4,3.6e-4
t3363,Male,24,5,3.7e-4
t3363,Male,24,6,3.7e-4
t3363,Male,24,7,4e-4
t3363,Male,24,8,4.3e-4
t3363,Male,24,9,4.7e-4
t3363,Male,24,10,5.4e-4
t3363,Male,24,11,5.9e-4
t3363,Male,24,12,6.5e-4
t3363,Male,24,13,7.1e-4
t3363,Male,24,14,8.1e-4
t3363,Male,24,15,9.2e-4
t3363,Male,24,16,0.00102
t3363,Male,24,17,0.00117
t3363,Male,24,18,0.00132
t3363,Male,24,19,0.00145
t3363,Male,24,20,0.00154
t3363,Male,24,21,0.00163
t3363,Male,24,22,0.00172
t3363,Male,24,23,0.00184
t3363,Male,24,24,0.00201
t3363,Male,24,25,0.0022
t3363,Male,25,1,3e-4
t3363,Male,25,2,3.3e-4
t3363,Male,25,3,3.2e-4
t3363,Male,25,4,3.3e-4
t3363,Male,25,5,3.4e-4
t3363,Male,25,6,3.6e-4
t3363,Male,25,7,3.9e-4
t3363,Male,25,8,4.4e-4
t3363,Male,25,9,4.8e-4
t3363,Male,25,10,5.6e-4
t3363,Male,25,11,6.2e-4
t3363,Male,25,12,6.8e-4
t3363,Male,25,13,7.6e-4
t3363,Male,25,14,8.8e-4
t3363,Male,25,15,9.9e-4
t3363,Male,25,16,0.0011
t3363,Male,25,17,0.00125
t3363,Male,25,18,0.00139
t3363,Male,25,19,0.00149
t3363,Male,25,20,0.00156
t3363,Male,25,21,0.00165
t3363,Male,25,22,0.00176
t3363,Male,25,23,0.00193
t3363,Male,25,24,0.00211
t3363,Male,25,25,0.00231
t3363,Male,26,1,2.7e-4
t3363,Male,26,2,2.9e-4
t3363,Male,26,3,3e-4
t3363,Male,26,4,3.1e-4
t3363,Male,26,5,3.3e-4
t3363,Male,26,6,3.6e-4
t3363,Male,26,7,4e-4
t3363,Male,26,8,4.6e-4
t3363,Male,26,9,5e-4
t3363,Male,26,10,5.8e-4
t3363,Male,26,11,6.5e-4
t3363,Male,26,12,7.2e-4
t3363,Male,26,13,8.2e-4
t3363,Male,26,14,9.4e-4
t3363,Male,26,15,0.00106
t3363,Male,26,16,0.00117
t3363,Male,26,17,0.00132
t3363,Male,26,18,0.00144
t3363,Male,26,19,0.00152
t3363,Male,26,20,0.00159
t3363,Male,26,21,0.0017
t3363,Male,26,22,0.00184
t3363,Male,26,23,0.00202
t3363,Male,26,24,0.00222
t3363,Male,26,25,0.00243
t3363,Male,27,1,2.4e-4
t3363,Male,27,2,2.7e-4
t3363,Male,27,3,2.8e-4
t3363,Male,27,4,3.1e-4
t3363,Male,27,5,3.4e-4
t3363,Male,27,6,3.7e-4
t3363,Male,27,7,4.2e-4
t3363,Male,27,8,4.7e-4
t3363,Male,27,9,5.2e-4
t3363,Male,27,10,6.2e-4
t3363,Male,27,11,6.9e-4
t3363,Male,27,12,7.8e-4
t3363,Male,27,13,8.8e-4
t3363,Male,27,14,0.00101
t3363,Male,27,15,0.00113
t3363,Male,27,16,0.00124
t3363,Male,27,17,0.00138
t3363,Male,27,18,0.00147
t3363,Male,27,19,0.00155
t3363,Male,27,20,0.00165
t3363,Male,27,21,0.00178
t3363,Male,27,22,0.00194
t3363,Male,27,23,0.00213
t3363,Male,27,24,0.00235
t3363,Male,27,25,0.00258
t3363,Male,28,1,2.1e-4
t3363,Male,28,2,2.5e-4
t3363,Male,28,3,2.8e-4
t3363,Male,28,4,3.2e-4
t3363,Male,28,5,3.6e-4
t3363,Male,28,6,4e-4
t3363,Male,28,7,4.5e-4
t3363,Male,28,8,5e-4
t3363,Male,28,9,5.6e-4
t3363,Male,28,10,6.7e-4
t3363,Male,28,11,7.5e-4
t3363,Male,28,12,8.4e-4
t3363,Male,28,13,9.5e-4
t3363,Male,28,14,0.00108
t3363,Male,28,15,0.0012
t3363,Male,28,16,0.0013
t3363,Male,28,17,0.00142
t3363,Male,28,18,0.00152
t3363,Male,28,19,0.00163
t3363,Male,28,20,0.00174
t3363,Male,28,21,0.00188
t3363,Male,28,22,0.00206
t3363,Male,28,23,0.00227
t3363,Male,28,24,0.0025
t3363,Male,28,25,0.00276
t3363,Male,29,1,2e-4
t3363,Male,29,2,2.4e-4
t3363,Male,29,3,3e-4
t3363,Male,29,4,3.4e-4
t3363,Male,29,5,3.9e-4
t3363,Male,29,6,4.3e-4
t3363,Male,29,7,4.7e-4
t3363,Male,29,8,5.3e-4
t3363,Male,29,9,6e-4
t3363,Male,29,10,7.2e-4
t3363,Male,29,11,8.1e-4
t3363,Male,29,12,9e-4
t3363,Male,29,13,0.00101
t3363,Male,29,14,0.00114
t3363,Male,29,15,0.00125
t3363,Male,29,16,0.00136
t3363,Male,29,17,0.00149
t3363,Male,29,18,0.00161
t3363,Male,29,19,0.00173
t3363,Male,29,20,0.00185
t3363,Male,29,21,0.00202
t3363,Male,29,22,0.00222
t3363,Male,29,23,0.00245
t3363,Male,29,24,0.0027
t3363,Male,29,25,0.00298
t3363,Male,30,1,1.9e-4
t3363,Male,30,2,2.4e-4
t3363,Male,30,3,3.2e-4
t3363,Male,30,4,3.7e-4
t3363,Male,30,5,4.1e-4
t3363,Male,30,6,4.5e-4
t3363,Male,30,7,4.9e-4
t3363,Male,30,8,5.6e-4
t3363,Male,30,9,6.5e-4
t3363,Male,30,10,7.7e-4
t3363,Male,30,11,8.6e-4
t3363,Male,30,12,9.5e-4
t3363,Male,30,13,0.00106
t3363,Male,30,14,0.00118
t3363,Male,30,15,0.00129
t3363,Male,30,16,0.00143
t3363,Male,30,17,0.00159
t3363,Male,30,18,0.00171
t3363,Male,30,19,0.00185
t3363,Male,30,20,0.002
t3363,Male,30,21,0.00219
t3363,Male,30,22,0.00242
t3363,Male,30,23,0.00267
t3363,Male,30,24,0.00294
t3363,Male,30,25,0.00324
t3363,Male,31,1,1.9e-4
t3363,Male,31,2,2.4e-4
t3363,Male,31,3,3.3e-4
t3363,Male,31,4,3.9e-4
t3363,Male,31,5,4.3e-4
t3363,Male,31,6,4.7e-4
t3363,Male,31,7,5.2e-4
t3363,Male,31,8,6e-4
t3363,Male,31,9,7.1e-4
t3363,Male,31,10,8.3e-4
t3363,Male,31,11,9.2e-4
t3363,Male,31,12,0.001
t3363,Male,31,13,0.00112
t3363,Male,31,14,0.00123
t3363,Male,31,15,0.00136
t3363,Male,31,16,0.00153
t3363,Male,31,17,0.0017
t3363,Male,31,18,0.00184
t3363,Male,31,19,0.002
t3363,Male,31,20,0.00218
t3363,Male,31,21,0.00239
t3363,Male,31,22,0.00265
t3363,Male,31,23,0.00293
t3363,Male,31,24,0.00323
t3363,Male,31,25,0.00353
t3363,Male,32,1,1.9e-4
t3363,Male,32,2,2.5e-4
t3363,Male,32,3,3.5e-4
